id,title,description,category_id,status,priority,created_at,updated_at
1,Học Solidity cơ bản,Tìm hiểu về ngôn ngữ lập trình Smart Contract,2,in_progress,high,2024-01-01 09:00:00,2024-01-01 09:00:00
2,Đọc tài liệu về Blockchain,Nghiên cứu về công nghệ blockchain và ứng dụng,2,pending,medium,2024-01-01 10:00:00,2024-01-01 10:00:00
3,Dọn dẹp phòng làm việc,Sắp xếp lại bàn làm việc và tủ sách,3,completed,low,2024-01-01 11:00:00,2024-01-01 11:00:00
4,Tập thể dục buổi sáng,Chạy bộ 30 phút và tập yoga,5,pending,medium,2024-01-01 06:00:00,2024-01-01 06:00:00
5,Lập kế hoạch tài chính tháng,Lập ngân sách và theo dõi chi tiêu,7,in_progress,high,2024-01-01 14:00:00,2024-01-01 14:00:00
6,Vẽ sketch cho dự án mới,Thiết kế ý tưởng cho ứng dụng quản lý nhiệm vụ,6,pending,low,2024-01-01 15:00:00,2024-01-01 15:00:00
7,Gọi điện cho gia đình,Liên lạc với người thân,1,completed,medium,2024-01-01 18:00:00,2024-01-01 18:00:00
8,Lên kế hoạch du lịch cuối tuần,Tìm hiểu địa điểm và đặt vé,8,pending,low,2024-01-01 16:00:00,2024-01-01 16:00:00
9,Hoàn thành báo cáo công việc,Viết báo cáo tuần cho sếp,4,in_progress,high,2024-01-01 13:00:00,2024-01-01 13:00:00
10,Nấu bữa tối,Chuẩn bị bữa ăn cho gia đình,3,pending,medium,2024-01-01 17:00:00,2024-01-01 17:00:00
